wojewodztwo_std,Plon [dt/ha],Zysk brutto [zł/ha],Efektywność N [kg plonu/kg N],Efektywność P [kg plonu/kg P],Efektywność K [kg plonu/kg K],Koszt N [zł/ha],Koszt P [zł/ha],Koszt K [zł/ha],Średnia temperatura [°C],Suma opadów [mm],Dni upalne [liczba],Dni mroźne [liczba],Klaster_Finansowy,Klaster_Pogodowy
DOLNOSLASKIE,50.96,3368.478408765044,5.510155230104486,18.665556452061224,11.340095067597511,33.404759685516716,25.84716488277268,18.642666666666667,10.676678793322854,724.54,8.2,10.8,0,1
KUJAWSKOPOMORSKIE,46.739999999999995,3247.606173809781,4.576225801186936,15.328050636291005,9.525342398221861,31.857597833980606,35.71495285423039,22.04687550200803,10.082981810015719,642.76,5.6,15.2,0,0
LUBUSKIE,41.58,2777.5432309472617,7.131836193188418,29.186698719580487,15.213677539069886,23.65746095797417,13.33065749235474,14.99265060240964,10.785106220525488,584.6,12.2,10.4,2,1
MALOPOLSKIE,39.980000000000004,2634.9105387100562,9.765606639635292,23.40740935285521,14.776349737961343,18.698777114710616,19.857415902140676,14.56306827309237,10.158483419417621,781.7,8.2,16.8,2,2
OPOLSKIE,60.14,3970.7043056888897,5.477159273984753,18.548355738614575,11.558834762442316,43.392108079946944,29.83306574923547,26.105120481927713,10.509992364697956,776.76,8.4,13.0,0,2
POMORSKIE,52.86,3777.322279121904,6.242760008526938,24.790415354755606,14.295169662603666,35.3607051245619,29.380186034658514,13.457429718875503,9.810332210494797,652.54,2.4,15.2,1,0
SLASKIE,46.68,3174.6193144568606,7.0039763109628455,20.959338324615114,13.260183935138448,24.071843989769818,21.508639143730885,13.086602409638553,9.977362077999851,797.6,6.2,19.0,1,2
WARMINSKOMAZURSKIE,45.7,3189.4610453579958,6.954283421613385,28.796122562226138,18.261632433082383,25.518081525685957,15.646158256880733,8.448714859437752,9.118331911071188,719.72,2.8,24.2,2,0
WIELKOPOLSKIE,46.36,3187.748597981464,5.4078844980772605,17.523654425298606,10.070672158549954,30.60032019828865,37.515742864424055,22.36073895582329,10.341033310876563,634.6,8.2,11.4,0,1
ZACHODNIOPOMORSKIE,47.42,3277.734621740676,6.574561884158999,24.056509781090465,14.192896115237534,30.199128950775155,20.427210754332314,17.674638554216866,10.288014222621454,649.9,5.8,9.2,1,1
