wojewodztwo,rok,Plon [dt/ha],Przewidywany plon [dt/ha],Błąd bezwzględny [dt/ha],Błąd procentowy [%]
MAŁOPOLSKIE,2016,39.4,41.99153012820512,2.5915301282051217,6.577487635038381
ŚLĄSKIE,2016,47.3,47.23858984626484,0.06141015373516012,0.12983119182909117
LUBUSKIE,2016,45.8,44.754707509157505,1.0452924908424919,2.2822980149399386
WIELKOPOLSKIE,2016,46.3,46.37439024309024,0.07439024309024234,0.16067007146920592
ZACHODNIOPOMORSKIE,2016,48.2,45.1475128121878,3.052487187812204,6.332960970564739
DOLNOŚLĄSKIE,2016,52.7,52.904098382173395,0.2040983821733917,0.3872834576345194
OPOLSKIE,2016,59.6,60.49197142857142,0.8919714285714164,1.4965963566634504
KUJAWSKO-POMORSKIE,2016,43.0,46.182717826617825,3.182717826617825,7.4016693642275
POMORSKIE,2016,48.3,46.795678338328315,1.504321661671682,3.1145376018047246
WARMIŃSKO-MAZURSKIE,2016,42.1,44.47251428571429,2.3725142857142885,5.635425856803535
MAŁOPOLSKIE,2017,41.1,44.33792619047618,3.2379261904761805,7.878165913567348
ŚLĄSKIE,2017,48.2,48.119218051393034,0.08078194860696897,0.16759740374889825
LUBUSKIE,2017,48.3,47.07452536630037,1.2254746336996263,2.537214562525106
WIELKOPOLSKIE,2017,50.5,52.93734731379732,2.437347313797318,4.826430324351125
ZACHODNIOPOMORSKIE,2017,52.0,51.84079561272061,0.15920438727938802,0.3061622832295923
DOLNOŚLĄSKIE,2017,53.8,53.216277278277296,0.583722721722701,1.0849864716035336
OPOLSKIE,2017,62.9,59.23654365079365,3.663456349206349,5.824254927196104
KUJAWSKO-POMORSKIE,2017,50.2,60.046414285714285,9.846414285714282,19.61437108708024
POMORSKIE,2017,54.4,52.53976195471195,1.8602380452880496,3.419555230308915
WARMIŃSKO-MAZURSKIE,2017,46.5,47.972061904761894,1.472061904761894,3.1657245263696643
MAŁOPOLSKIE,2018,38.0,40.49406626984128,2.4940662698412766,6.563332289055991
ŚLĄSKIE,2018,43.0,45.25394067044068,2.2539406704406773,5.241722489396924
LUBUSKIE,2018,31.1,37.349409523809534,6.249409523809533,20.094564385239654
WIELKOPOLSKIE,2018,38.6,41.64519047619047,3.04519047619047,7.8890944979027715
ZACHODNIOPOMORSKIE,2018,37.2,40.14330714285716,2.943307142857158,7.912115975422466
DOLNOŚLĄSKIE,2018,45.0,45.30712142857143,0.30712142857142766,0.6824920634920615
OPOLSKIE,2018,55.7,57.5640619047619,1.864061904761897,3.346610241942364
KUJAWSKO-POMORSKIE,2018,38.3,42.54963095238093,4.249630952380933,11.095642173318364
POMORSKIE,2018,45.6,44.30972114552114,1.2902788544788635,2.829558891401016
WARMIŃSKO-MAZURSKIE,2018,38.0,42.11598333333333,4.115983333333332,10.831535087719296
MAŁOPOLSKIE,2019,38.5,43.24474960317461,4.744749603174611,12.324024943310679
ŚLĄSKIE,2019,42.9,46.28015284992782,3.380152849927825,7.879144172325932
LUBUSKIE,2019,35.4,41.43281666666669,6.03281666666669,17.04185499058387
WIELKOPOLSKIE,2019,41.3,42.17927738095237,0.8792773809523737,2.129000922402842
ZACHODNIOPOMORSKIE,2019,47.0,47.45000354922856,0.4500035492285619,0.95745436006077
DOLNOŚLĄSKIE,2019,47.1,48.616984501609494,1.5169845016094925,3.2207738887675
OPOLSKIE,2019,60.2,59.39670476190476,0.8032952380952452,1.3343774719190118
KUJAWSKO-POMORSKIE,2019,44.8,44.448677380952375,0.35132261904762174,0.78420227465987
POMORSKIE,2019,52.9,51.99581527361527,0.9041847263847274,1.709233887305723
WARMIŃSKO-MAZURSKIE,2019,46.1,46.19686346153846,0.09686346153846159,0.2101159686300685
MAŁOPOLSKIE,2020,42.9,42.9943369047619,0.09433690476190293,0.21989954489954064
ŚLĄSKIE,2020,52.0,49.10365765345763,2.8963423465423688,5.569889127966094
LUBUSKIE,2020,47.3,44.84078055555557,2.459219444444429,5.199195442800061
WIELKOPOLSKIE,2020,55.1,52.340229487179506,2.759770512820495,5.008657918004528
ZACHODNIOPOMORSKIE,2020,52.7,47.76638207070707,4.933617929292936,9.361703850650732
DOLNOŚLĄSKIE,2020,56.2,52.25744640637141,3.9425535936285954,7.015219917488603
OPOLSKIE,2020,62.3,60.93210476190475,1.3678952380952438,2.1956584881143564
KUJAWSKO-POMORSKIE,2020,57.4,54.83007784992787,2.5699221500721308,4.47721628932427
POMORSKIE,2020,63.1,49.90887717837717,13.191122821622834,20.90510748276202
WARMIŃSKO-MAZURSKIE,2020,55.8,49.50606584249084,6.293934157509156,11.2794518951777
