wojewodztwo,rok,średnia_temp_roczna,suma_opadów,dni_upały,dni_mrozy
DOLNOŚLĄSKIE,2016,10.15054644808743,748.1,4,15
DOLNOŚLĄSKIE,2017,9.996164383561643,816.4,5,17
DOLNOŚLĄSKIE,2018,11.092054794520548,577.3,14,16
DOLNOŚLĄSKIE,2019,11.333972602739726,640.5,14,5
DOLNOŚLĄSKIE,2020,10.810655737704918,840.4,4,1
KUJAWSKO-POMORSKIE,2016,9.745081967213114,602.4,4,17
KUJAWSKO-POMORSKIE,2017,9.305205479452056,847.9,1,23
KUJAWSKO-POMORSKIE,2018,10.353972602739725,502.9,8,25
KUJAWSKO-POMORSKIE,2019,10.697534246575342,545.8,11,9
KUJAWSKO-POMORSKIE,2020,10.313114754098361,714.8,4,2
LUBELSKIE,2016,9.484972677595628,730.0,4,25
LUBELSKIE,2017,8.95013698630137,787.5,6,33
LUBELSKIE,2018,9.856438356164384,609.0,0,41
LUBELSKIE,2019,10.442465753424658,610.4,12,20
LUBELSKIE,2020,10.035245901639344,785.6,1,1
LUBUSKIE,2016,10.191530054644808,569.2,4,14
LUBUSKIE,2017,9.904383561643835,759.9,3,20
LUBUSKIE,2018,11.187123287671234,471.7,23,13
LUBUSKIE,2019,11.452876712328768,547.1,22,5
LUBUSKIE,2020,11.189617486338799,575.1,9,0
MAZOWIECKIE,2016,9.568306010928962,728.3,4,21
MAZOWIECKIE,2017,9.138356164383561,888.4,4,25
MAZOWIECKIE,2018,10.178082191780822,613.1,9,36
MAZOWIECKIE,2019,10.687671232876712,586.3,13,15
MAZOWIECKIE,2020,10.312021857923497,796.4,3,2
MAŁOPOLSKIE,2016,9.720218579234972,803.2,3,16
MAŁOPOLSKIE,2017,9.397260273972602,848.1,10,24
MAŁOPOLSKIE,2018,10.586575342465753,653.4,8,28
MAŁOPOLSKIE,2019,10.74082191780822,801.2,14,14
MAŁOPOLSKIE,2020,10.347540983606557,802.6,6,2
OPOLSKIE,2016,10.048633879781422,825.3,3,14
OPOLSKIE,2017,9.72027397260274,880.1,7,24
OPOLSKIE,2018,11.041643835616437,639.5,12,16
OPOLSKIE,2019,11.124109589041096,653.3,13,10
OPOLSKIE,2020,10.615300546448086,885.6,7,1
PODKARPACKIE,2016,9.862295081967213,782.8,6,25
PODKARPACKIE,2017,9.34027397260274,882.0,7,32
PODKARPACKIE,2018,10.223835616438356,741.5,0,41
PODKARPACKIE,2019,10.771506849315069,828.2,6,19
PODKARPACKIE,2020,10.226229508196722,928.0,1,1
PODLASKIE,2016,8.581420765027323,828.9,1,28
PODLASKIE,2017,8.22986301369863,879.4,4,34
PODLASKIE,2018,9.308493150684932,652.3,4,48
PODLASKIE,2019,9.775068493150686,604.3,6,24
PODLASKIE,2020,9.748087431693989,687.0,0,6
POMORSKIE,2016,9.524043715846995,597.2,2,16
POMORSKIE,2017,9.01068493150685,852.8,0,19
POMORSKIE,2018,9.877260273972603,513.9,3,33
POMORSKIE,2019,10.32,658.7,5,5
POMORSKIE,2020,10.319672131147541,640.1,2,3
WARMIŃSKO-MAZURSKIE,2016,8.652459016393443,735.1,2,26
WARMIŃSKO-MAZURSKIE,2017,8.224109589041097,925.1,1,29
WARMIŃSKO-MAZURSKIE,2018,9.43917808219178,596.9,6,41
WARMIŃSKO-MAZURSKIE,2019,9.684109589041096,668.4,4,19
WARMIŃSKO-MAZURSKIE,2020,9.591803278688525,673.1,1,6
WIELKOPOLSKIE,2016,9.892896174863388,599.1,3,15
WIELKOPOLSKIE,2017,9.49945205479452,825.1,1,19
WIELKOPOLSKIE,2018,10.694794520547944,555.3,14,16
WIELKOPOLSKIE,2019,10.996712328767124,537.1,18,6
WIELKOPOLSKIE,2020,10.621311475409836,656.4,5,1
ZACHODNIOPOMORSKIE,2016,9.91775956284153,531.6,3,15
ZACHODNIOPOMORSKIE,2017,9.461369863013699,919.0,0,13
ZACHODNIOPOMORSKIE,2018,10.528219178082193,554.8,7,12
ZACHODNIOPOMORSKIE,2019,10.876438356164384,635.1,13,6
ZACHODNIOPOMORSKIE,2020,10.656284153005464,609.0,6,0
ŁÓDZKIE,2016,9.422131147540984,756.0,3,18
ŁÓDZKIE,2017,8.88931506849315,889.3,4,37
ŁÓDZKIE,2018,10.174520547945205,616.2,13,35
ŁÓDZKIE,2019,10.595616438356165,553.6,18,17
ŁÓDZKIE,2020,9.9551912568306,747.9,3,2
ŚLĄSKIE,2016,9.635245901639344,824.7,3,17
ŚLĄSKIE,2017,9.034246575342467,932.6,7,34
ŚLĄSKIE,2018,10.497534246575341,661.2,8,28
ŚLĄSKIE,2019,10.64082191780822,745.0,11,14
ŚLĄSKIE,2020,10.07896174863388,824.5,2,2
ŚWIĘTOKRZYSKIE,2016,7.602459016393443,719.8,1,39
ŚWIĘTOKRZYSKIE,2017,6.8832876712328765,826.2,3,57
ŚWIĘTOKRZYSKIE,2018,7.986301369863014,643.4,0,64
ŚWIĘTOKRZYSKIE,2019,8.388767123287671,648.6,3,34
ŚWIĘTOKRZYSKIE,2020,8.037158469945355,764.7,0,23
