id,wojewodztwo,rok,nawozy_ogolem_kg_ha,N_kg_ha,P_kg_ha,K_kg_ha
011200000000,MAŁOPOLSKIE,2016,77.5,38.4,15.0,24.1
012400000000,ŚLĄSKIE,2016,123.0,66.7,22.3,34.0
020800000000,LUBUSKIE,2016,108.5,63.6,16.1,28.9
023000000000,WIELKOPOLSKIE,2016,163.1,87.5,26.3,49.3
023200000000,ZACHODNIOPOMORSKIE,2016,131.9,77.8,20.6,33.4
030200000000,DOLNOŚLĄSKIE,2016,165.0,92.2,27.6,45.2
031600000000,OPOLSKIE,2016,203.2,115.1,34.3,53.8
040400000000,KUJAWSKO-POMORSKIE,2016,179.3,101.5,29.9,47.9
042200000000,POMORSKIE,2016,142.4,83.8,22.1,36.5
042800000000,WARMIŃSKO-MAZURSKIE,2016,104.8,65.5,15.3,24.1
011200000000,MAŁOPOLSKIE,2017,93.7,47.2,17.6,28.9
012400000000,ŚLĄSKIE,2017,124.2,68.7,20.9,34.6
020800000000,LUBUSKIE,2017,103.2,60.2,15.0,28.0
023000000000,WIELKOPOLSKIE,2017,163.6,88.9,28.1,46.5
023200000000,ZACHODNIOPOMORSKIE,2017,134.5,79.4,20.3,34.8
030200000000,DOLNOŚLĄSKIE,2017,174.4,101.5,26.6,46.2
031600000000,OPOLSKIE,2017,190.2,109.4,31.2,49.6
040400000000,KUJAWSKO-POMORSKIE,2017,201.4,116.7,32.7,52.0
042200000000,POMORSKIE,2017,136.2,81.4,19.8,35.0
042800000000,WARMIŃSKO-MAZURSKIE,2017,116.5,73.9,16.5,26.0
011200000000,MAŁOPOLSKIE,2018,82.3,41.1,15.7,25.4
012400000000,ŚLĄSKIE,2018,124.9,69.1,21.9,33.9
020800000000,LUBUSKIE,2018,112.8,68.4,16.1,28.3
023000000000,WIELKOPOLSKIE,2018,170.4,99.1,26.0,45.4
023200000000,ZACHODNIOPOMORSKIE,2018,115.5,66.0,18.2,31.3
030200000000,DOLNOŚLĄSKIE,2018,174.5,103.2,26.1,45.1
031600000000,OPOLSKIE,2018,202.8,119.9,31.5,51.5
040400000000,KUJAWSKO-POMORSKIE,2018,190.5,110.6,30.6,49.3
042200000000,POMORSKIE,2018,152.6,91.1,23.0,38.6
042800000000,WARMIŃSKO-MAZURSKIE,2018,113.6,71.5,15.5,26.6
011200000000,MAŁOPOLSKIE,2019,90.3,40.9,19.6,29.8
012400000000,ŚLĄSKIE,2019,126.2,65.1,23.1,38.0
020800000000,LUBUSKIE,2019,92.4,55.4,12.2,24.7
023000000000,WIELKOPOLSKIE,2019,144.3,76.2,24.6,43.4
023200000000,ZACHODNIOPOMORSKIE,2019,127.0,74.5,19.2,33.3
030200000000,DOLNOŚLĄSKIE,2019,156.8,83.3,27.3,46.2
031600000000,OPOLSKIE,2019,188.8,102.1,32.8,53.9
040400000000,KUJAWSKO-POMORSKIE,2019,171.7,92.6,30.0,49.0
042200000000,POMORSKIE,2019,147.2,86.8,21.5,38.9
042800000000,WARMIŃSKO-MAZURSKIE,2019,97.3,57.3,15.5,24.4
011200000000,MAŁOPOLSKIE,2020,84.3,38.3,18.2,27.8
012400000000,ŚLĄSKIE,2020,123.5,64.2,23.3,35.9
020800000000,LUBUSKIE,2020,89.4,49.8,12.8,26.8
023000000000,WIELKOPOLSKIE,2020,154.2,81.6,27.0,45.6
023200000000,ZACHODNIOPOMORSKIE,2020,118.2,64.4,20.0,33.8
030200000000,DOLNOŚLĄSKIE,2020,157.5,86.2,28.8,42.5
031600000000,OPOLSKIE,2020,189.5,105.3,32.5,51.7
040400000000,KUJAWSKO-POMORSKIE,2020,172.1,95.0,29.5,47.5
042200000000,POMORSKIE,2020,139.8,82.3,20.9,36.5
042800000000,WARMIŃSKO-MAZURSKIE,2020,105.1,64.2,16.4,24.5
